step,episode,episode_return,episode_wue,loss,epsilon,eval_return
77616,462,-53.4204,77475.51,0.074409,0.0500,
77784,463,-69.1054,112692.73,0.064529,0.0500,
77952,464,-52.2836,93941.12,0.108707,0.0500,
78120,465,-51.7110,85075.34,0.053907,0.0500,
78288,466,-50.5976,89746.41,0.062977,0.0500,
78456,467,-55.5755,92143.89,0.063903,0.0500,
78624,468,-92.6413,140633.45,0.074543,0.0500,
78792,469,-52.5576,86756.95,0.078554,0.0500,
78960,470,-53.3425,99985.44,0.085093,0.0500,
79128,471,-53.9027,93922.06,0.060478,0.0500,
79296,472,-86.9401,150825.45,0.062072,0.0500,
79464,473,-70.9445,110166.31,0.079415,0.0500,
79632,474,-87.5287,159096.44,0.070133,0.0500,
79800,475,-70.8480,125275.30,0.069613,0.0500,
79968,476,-56.5898,92679.45,0.089017,0.0500,
80000,476,,,,,-61.0180
80136,477,-55.3391,88089.42,0.049638,0.0500,
80304,478,-53.3822,92029.78,0.085471,0.0500,
80472,479,-52.1247,86503.27,0.068113,0.0500,
80640,480,-90.5599,137351.28,0.064856,0.0500,
80808,481,-59.9882,80826.80,0.054055,0.0500,
80976,482,-52.7666,83757.89,0.079087,0.0500,
81144,483,-88.5599,165593.51,0.074720,0.0500,
81312,484,-57.6584,88018.62,0.095541,0.0500,
81480,485,-55.7995,91263.98,0.060314,0.0500,
81648,486,-75.0827,107123.29,0.078322,0.0500,
81816,487,-85.0115,143688.79,0.064562,0.0500,
81984,488,-70.3728,101203.40,0.095268,0.0500,
82152,489,-55.1104,91965.98,0.085369,0.0500,
82320,490,-59.5117,81615.96,0.063827,0.0500,
82488,491,-53.7805,94367.48,0.069089,0.0500,
82656,492,-57.3608,83038.36,0.072025,0.0500,
82824,493,-58.5187,78073.29,0.078619,0.0500,
82992,494,-54.9621,90992.98,0.075691,0.0500,
83160,495,-66.6040,103232.14,0.053272,0.0500,
83328,496,-55.3635,86668.82,0.070207,0.0500,
83496,497,-88.8234,154841.41,0.085541,0.0500,
83664,498,-51.0599,83658.38,0.053401,0.0500,
83832,499,-52.8191,92572.27,0.074238,0.0500,
84000,500,-59.0016,97478.90,0.073535,0.0500,
84168,501,-84.0623,153188.81,0.058553,0.0500,
84336,502,-57.2931,88383.68,0.081291,0.0500,
